,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
0,3,3,5,5,4,4,5,5,3,3,4,5,4,3,4,5
1,3,2,4,5,4,4,5,5,3,2,4,5,3,3,3,5
2,0,2,3,5,4,2,5,5,3,2,4,5,2,0,4,5
3,0,0,4,6,2,2,4,5,0,0,4,5,2,2,4,5
4,2,2,5,5,4,2,4,5,2,0,5,6,0,0,5,5
5,2,3,5,6,2,2,4,5,0,2,2,5,2,2,2,6
6,7,6,7,7,6,6,6,7,7,6,6,7,7,6,7,7
7,6,6,6,7,6,4,7,7,6,5,5,7,7,7,7,7
8,7,6,7,7,6,4,6,7,6,5,6,7,6,5,6,7
9,7,6,7,7,4,4,6,7,4,6,5,7,7,5,6,7
10,6,6,6,7,5,6,6,7,5,5,6,7,6,5,6,7
11,6,4,6,6,6,6,6,7,6,5,6,7,6,6,6,7
12,7,6,6,7,6,6,6,7,7,6,7,7,7,7,7,7
13,6,6,6,7,5,5,5,7,6,5,7,7,7,7,7,7
14,6,5,7,7,5,4,7,7,6,5,7,7,7,6,7,7
15,5,5,6,7,5,5,6,7,5,5,6,7,7,7,7,7
16,6,5,6,7,5,5,7,7,6,5,7,7,6,6,7,7
17,2,5,6,7,4,4,6,7,7,6,7,7,6,7,7,7
18,6,5,7,7,6,5,5,7,7,6,7,7,7,6,7,7
19,5,5,6,7,5,5,6,7,5,5,7,7,7,6,7,7
20,6,6,7,7,2,5,5,7,5,6,7,7,6,5,7,7
21,6,5,6,7,4,5,6,7,6,5,7,7,7,6,6,7
22,6,5,6,7,2,5,6,7,6,5,7,7,6,4,6,7
23,4,6,6,7,5,6,7,7,5,5,6,7,6,5,7,7
24,5,5,6,7,6,5,7,7,6,5,6,7,7,6,7,7
25,4,5,6,7,6,6,7,7,6,6,7,7,6,5,6,7
26,4,5,6,7,5,5,6,7,5,5,7,7,6,6,7,7
27,1,5,7,7,5,5,7,7,6,5,7,7,6,5,7,7
28,1,4,6,7,5,5,6,7,4,6,6,7,6,6,6,7
29,2,2,5,7,1,4,7,7,2,5,6,7,5,6,6,7
30,0,0,2,7,0,0,2,7,0,0,4,7,0,0,4,7
31,0,0,1,6,0,0,4,7,0,0,3,7,0,1,4,7
32,0,0,3,7,0,0,4,7,0,0,4,7,0,0,3,7
33,0,0,2,7,0,0,3,7,0,0,4,7,0,0,6,7
34,0,0,3,7,0,0,4,7,0,0,6,7,0,0,3,7
35,0,0,3,7,0,0,4,7,0,0,4,7,0,0,4,7
36,0,1,4,7,0,1,4,7,2,4,6,7,1,2,6,7
37,0,1,2,7,0,0,4,7,0,2,4,7,0,2,5,7
38,0,1,2,7,0,1,4,7,0,1,2,7,0,2,6,7
39,0,1,4,7,0,1,4,7,0,2,4,7,0,1,6,7
40,0,2,4,7,0,0,4,7,0,1,6,7,0,1,5,7
41,0,0,3,7,0,1,2,7,0,1,4,7,0,0,4,7
42,0,2,4,6,0,1,2,7,0,2,6,7,0,0,2,7
43,0,0,2,7,0,0,5,7,0,1,2,7,0,2,4,7
44,0,1,2,7,0,1,2,7,0,1,4,7,0,2,4,7
45,0,1,3,7,0,1,4,7,0,1,2,7,0,0,4,7
46,0,0,2,7,0,0,2,7,0,1,4,7,0,0,6,7
47,0,1,2,7,0,0,4,7,0,1,4,7,0,2,6,7
48,0,1,2,7,0,1,4,7,0,1,4,7,0,1,5,7
49,2,4,4,6,0,2,4,7,0,1,2,7,0,2,7,7
50,1,2,5,6,0,0,4,7,0,1,6,7,0,2,5,7
51,1,1,2,6,0,0,2,7,0,1,4,7,0,1,6,7
52,1,2,2,6,0,0,4,7,0,1,3,7,0,1,5,7
53,1,1,2,6,0,1,4,7,0,1,4,7,0,1,4,7
54,2,4,5,6,0,1,4,7,0,2,6,7,0,2,6,7
55,1,2,2,6,0,0,4,7,0,1,6,7,0,1,4,7
56,1,1,4,6,0,0,4,7,0,1,3,7,0,2,7,7
57,1,1,4,6,0,0,4,7,0,1,6,7,0,1,7,7
58,1,1,4,6,0,0,5,7,0,1,6,7,0,2,6,7
59,0,0,3,7,0,0,3,7,0,1,5,7,0,2,6,7
60,0,0,3,7,0,0,4,7,0,2,4,7,0,2,6,7
61,0,1,3,7,0,0,2,7,0,1,5,7,0,1,7,7
62,1,2,2,7,0,0,5,7,0,1,7,7,0,0,5,7
63,0,1,2,6,0,0,3,7,0,1,6,7,0,1,4,7
