,3000_1m,4000_1m,5000_1m,6000_1m,3000_3m,4000_3m,5000_3m,6000_3m,3000_6m,4000_6m,5000_6m,6000_6m,3000_12m,4000_12m,5000_12m,6000_12m
0,0,0,0,0,1,1,2,2,3,2,4,4,5,5,5,5
1,0,0,0,0,2,1,1,2,2,2,3,4,4,5,5,5
2,0,0,0,0,1,1,1,1,2,2,2,2,4,4,4,5
3,0,0,0,0,1,1,1,1,2,2,2,2,4,4,5,5
4,0,0,0,0,1,1,1,1,1,1,2,2,4,4,4,5
5,0,0,0,0,0,1,1,1,2,1,2,2,4,4,4,5
6,0,0,0,1,1,0,1,1,1,2,2,2,4,4,4,4
7,0,0,0,0,0,1,1,1,2,1,2,2,4,4,4,5
8,1,2,2,2,2,2,2,4,4,5,6,6,6,6,6,6
9,1,1,2,2,2,2,2,4,5,4,5,6,6,6,6,6
10,1,1,2,2,2,2,2,4,4,5,4,6,6,6,6,6
11,1,1,2,2,2,2,2,4,5,5,5,6,6,6,6,6
12,2,2,2,2,2,2,2,3,4,4,4,6,6,6,6,6
13,1,1,2,2,2,2,2,4,4,4,4,6,6,6,6,6
14,1,2,2,2,2,2,2,2,4,4,4,5,6,6,6,6
15,1,1,2,2,2,2,3,4,4,4,5,6,6,6,6,6
16,0,2,2,2,2,2,2,2,4,4,5,5,6,6,6,6
17,0,1,2,2,2,2,2,4,4,4,6,6,6,6,6,6
18,0,1,1,2,2,2,2,2,4,4,5,6,6,6,6,6
19,0,1,2,2,2,2,2,3,4,4,5,6,6,6,6,6
20,1,2,1,2,2,2,2,2,4,4,4,6,6,6,6,6
21,1,2,1,2,2,2,2,2,4,4,5,6,6,6,6,6
22,0,2,2,2,2,2,2,2,3,4,4,4,6,6,6,6
23,0,1,2,2,2,2,2,2,3,4,4,4,6,6,6,6
24,0,1,2,2,2,2,2,3,4,4,4,5,6,6,6,6
25,0,1,2,2,2,2,2,3,4,4,5,6,6,6,6,6
26,0,1,2,2,2,2,2,2,4,4,5,5,6,6,6,6
27,0,0,2,2,2,2,2,2,4,4,4,6,6,6,6,6
28,0,1,2,2,2,2,2,2,4,4,4,6,6,6,6,6
29,0,1,1,2,2,2,2,2,4,4,5,6,6,6,6,6
30,0,1,2,2,2,2,2,2,4,4,5,5,6,6,6,6
31,0,1,0,2,2,2,2,2,4,4,4,6,6,6,6,6
32,0,0,0,2,4,5,4,5,5,5,5,6,6,6,6,6
33,0,0,0,1,4,4,4,4,6,6,6,6,6,6,6,6
34,0,0,0,0,3,4,4,4,4,5,6,6,6,6,6,6
35,0,0,0,1,3,3,4,4,5,5,6,6,6,6,6,6
36,0,0,0,0,3,2,3,4,5,6,6,6,6,6,6,6
37,0,0,0,0,3,4,4,4,5,6,5,6,6,6,6,6
38,0,0,0,0,2,4,3,3,5,5,6,6,6,6,6,6
39,0,0,0,0,2,2,4,4,6,6,6,6,6,6,6,6
40,1,2,2,2,2,4,3,4,5,6,6,6,6,6,6,6
41,0,2,1,2,3,4,4,5,5,6,6,6,6,6,6,6
42,0,2,2,2,2,3,4,4,5,5,6,6,6,6,6,6
43,0,1,2,2,2,4,4,4,5,6,6,6,6,6,6,6
44,0,2,1,2,2,2,2,4,5,5,6,6,6,6,6,6
45,0,1,0,2,2,2,4,4,5,5,6,6,6,6,6,6
46,1,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6
47,0,1,2,2,2,2,4,4,5,6,6,6,6,6,6,6
48,2,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6
49,2,2,2,2,2,2,3,4,4,4,6,6,6,6,6,6
50,2,2,2,2,2,2,2,4,4,4,5,5,6,6,6,6
51,2,2,2,2,2,2,3,4,4,5,5,6,6,6,6,6
52,2,2,2,2,2,2,2,2,4,4,4,5,6,6,6,6
53,2,2,2,2,2,2,2,2,5,5,4,6,6,6,6,6
54,2,2,2,2,2,2,2,2,4,4,4,5,6,6,6,6
55,2,2,2,2,2,2,2,4,4,5,4,6,6,6,6,6
56,2,2,2,2,2,3,2,4,4,5,4,6,6,6,6,6
57,2,2,2,2,2,2,2,4,4,5,4,5,6,6,6,6
58,2,2,2,2,2,2,2,3,4,4,4,5,5,6,6,6
59,2,2,2,2,2,2,2,3,4,4,4,5,6,6,6,6
60,2,2,2,3,2,2,2,2,4,5,4,5,6,6,6,6
61,2,2,2,2,2,2,2,3,3,4,4,5,6,6,6,6
62,2,2,2,2,2,2,2,2,3,5,5,5,6,6,6,6
63,2,2,2,2,2,2,2,3,4,4,4,5,6,6,6,6
64,2,2,2,2,2,2,2,4,4,4,4,5,6,6,6,6
65,2,2,2,2,2,2,2,4,4,5,5,5,6,6,6,6
66,2,2,2,3,2,2,3,4,2,5,4,5,5,6,6,6
67,2,2,2,3,2,2,2,4,4,5,4,5,6,6,6,6
68,2,2,2,2,2,2,2,2,4,3,4,5,6,6,6,6
69,2,2,2,2,2,2,2,2,3,4,5,5,6,6,6,6
